INTENT,ID
Привет,11
здравствуй,11
Здравствуйте,11
добрый День,11
добрый вечер,11
ку,11
С добрым утром,11
приветики,11
хай,11
дарова,11
"Доброго времени суток!",11
"ну здравствуй!",11
ХАЙ,11
приветики,11
Здравствуй,11
добрейший День,11
добрейший вечер,11
давно не виделись,11
"Приветики!",11
"Хай!",11
"Даров!",11
"Прив!",11
прив,11
"здравствуй!",11
"привет!",11
дроу,11
привет,11
вечер,11
утро,11
день,11
рад был пообщаться,12
"спасибо за помощь!",12
до встречи,12
"До свидания!",12
"ну прощай!",12
Прощай,12
пока,12
покедова,12
бб,12
до связи,12
"спасибо за помощь!",12
до встречи,12
"До свидания!",12
"ну прощай!",12
Прощай,12
пока,12
покедова,12
открой файл,7
файл,7
плиз открой файл,7
прошу открыть файл,7
приложение,7
открой приложение,7
используй приложение,7
запусти файл,7
запусти приложение,7
запусти приложуху,7
приложуха,7
нужен файл,7
нужно приложение,7
нужно открыть файлы,7
файлы,7
нужны файлы,7
открой проводник,7
скажи время,2
сколько времени сейчас,2
который сейчас час,2
сколько времени,2
подскажи время,2
сколько минут,2
сколько часов,2
время,2
текущее время,2
время текущее,2
текущий час,2
час,2
"сколько сейчас времени?",2
"Какое сейчас время?",2
покажи время,2
подскажи время,2
время покажи,2
время подскажи,2
время скажи,2
час текущий,2
который час,2
открой браузер,3
браузер,3
"не откроешь ли ты браузер,бот?",3
открой Оперу,3
открой Гугл Хром,3
Опера,3
Гугл Хром,3
Яндекс Браузер,3
Гугл,3
Открой Гугл,3
ЯБ,3
запусти браузер,3
запусти браузер по умолчанию,3
открой обозреватель,3
запусти обозреватель,3
открой браузер по умолчанию,3
открыть браузер,3
открыть браузер по умолчанию,3
справка,1
выведи справку,1
покажи справку,1
что ты умеешь делать,1
справка о функционале,1
покажи функционал,1
покажи справку о функционале,1
покажи функциональную справку,1
функциональная справка,1
справка о функционале,1
функционал,1
операции,1
выполняемые операции,1
список команды,1
команда,1
команды,1
команд,1
твои команды,1
твои навыки,1
навыки,1
"операции,которые можно выполнять",1
функционал приложения,1
информация об устройстве,4
информация о компьютере,4
информация о ноутбуке,4
о компьютере,4
о ноутбуке,4
об устройстве,4
об устройстве,4
об устройстве на экран,4
мой компьютер,4
мой ноутбук,4
мой девайс,4
девайс,4
о девайсе,4
о девайсе,4
о девайсе на экран,4
моё устройство,4
устройство,4
"на чём я работаю?",4
какая у меня система,4
система,4
моя система,4
карта,5
покажи меня на карте,5
я на карте,5
где я на карте,5
"покажи,где я",5
покажи меня,5
покажи местоположение,5
геологация,5
моя геолокация,5
моё местоположение,5
мои координаты,5
координаты,5
где координаты,5
где на карте,5
местоположение,5
"какая сейчас погода?",6
"сколько сейчас градусов?",6
что по погоде,6
чего по погоде,6
что там по погоде,6
чего там по погоде,6
погода, 6
погодные условия, 6
погода на улице, 6
температура на улице, 6
градусы на улице, 6
температура,6
покажи температуру,6
"холодно ли сейчас?",6
"тепло ли сейчас?",6
погода в моей области,6
градусы,6
градус,6
цельсий,6
сколько градусов по Цельсию,6
градус по Цельсию,6
градусы по Цельсию,6
открыть ссылку,9
открыть сайт,9
ссылка,9
по сайту,9
на сайте,9
по ссылке,9
на ссылку,9
папка,8
папку,8
проводник,8
открыть папку,8
в папку,8
в папке,8
в проводнике,8
добавить текст,10
текст,10
запись,10
запись имени пользователя,10
запись в файл,10
запись имени,10
запись имени в файл,10
изменить имя пользователя в файл,10
имя пользователя в файл,10
изменить имя пользователя,10
изменить пользовательские настройки,0
пользовательские настройки,0
настройка,0
настройка программы,0
программные настройки,0
настроить настройки,0
настроить пользовательские настройки,0
изменить параметры,0
параметры,0
пользовательские параметры,0
настроить параметры,0
зайти в настройки,0
зайти в параметры,0
зайти в пользовательские настройки,0
арвыоа рпавлптило,-1
опавдтвчвофивытьчсроврыфл,-1
выгфшщсьчямтсьиарцуйдбся,-1
врыфолв пвапаисмл рвфыовфы,-1
выф павлжд врлвфыть мсчбьраыво,-1
взфыщ вщхсоярлы врплраво вфыовлыофвдть тьбф,-1
воыфлв игмшсщьббйцро,-1
выф птаволь ыфвдь пав воыд,-1
